Specie;Loc;A;C;D;E;F;B;AREA;PER
vignai;Isasca Tundo;263,65;138,36;55,92;46,1;85,44;298,21;2,593;1003,78
delphinicus;Topalinda;304,06;137,61;67,98;44,86;177,46;319,29;3,138;1142,92
delphinicus;Orso;310,49;131,26;41,52;41,51;90;269,33;2,62;1019,99
delphinicus;Drai;320;144,42;37,32;36,53;100,29;215,21;1,977;989,53
delphinicus;Drai;336,83;152,32;62,26;52,92;114,91;273,93;2,708;1098,78
achillis;Tuna;333,57;126,18;42,05;21,03;146,19;350,54;3,213;1231,41
achillis;Tuna;337,89;148,21;57,56;47,61;139,99;388,17;3,744;1302,7
achillis;Tornini;335,21;133,44;53,29;33,45;106,44;399,27;3,916;1212,44
achillis;Diavolo;341,56;137,43;65,25;54,43;149,16;397,39;3,923;1369,51
achillis;Diavolo;327,93;138,36;47,51;49,46;155,36;400,66;3,703;1286,69
achillis;Diavolo;346,98;147,26;50,43;44,38;130,89;412,21;4,471;1366,37
achillis;Tornini;338,75;143,36;35,86;44,1;155,78;351,23;3,343;1257,59
vignai;Zucco;298,78;148,01;69,82;51,7;154,54;432,19;3,626;1362,17
vignai;Ciuaiera;297,59;178,75;53,35;56,56;183,59;420,03;3,84;1399,28
vignai;Ciuaiera;299,16;158,52;57,93;56,65;156,79;440,46;3,766;1348,28
vignai;Valenza;273,98;135,4;88,97;62,89;160,52;417,54;3,85;1232,06
vignai;Camoscere;287,1;144,14;61,24;54,7;113,11;354,15;3,05;1200,23
vignai;Camoscere;273;135,98;59,57;35,62;144,83;372,58;2,893;1185,11
